data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2022-10-16 15:37:34+08,五股區,疏洪六路/疏洪一路交叉路口,2022-10-16 15:37:34~2022-10-16 21:58:27,381.0,61.00,25.01973674,121.38493175
2022-10-16 15:37:23+08,五股區,疏洪一路/疏洪四路交叉路口,2022-10-16 15:37:23~2022-10-17 00:03:23,506.0,62.00,25.08565883,121.42426238
2022-10-16 15:28:00+08,蘆洲區,蘆洲區仁愛街212巷24號,2022-10-16 15:28:00~2022-10-17 00:10:00,522.0,0,25.09380508,121.46176968
2022-10-16 15:26:00+08,蘆洲區,蘆洲區三民路128巷87-6號,2022-10-16 15:26:00~2022-10-17 00:10:00,524.0,0,25.09268588,121.46556808
2022-10-16 15:25:11+08,五股區,疏洪八路/疏洪一路交叉路口,2022-10-16 15:25:11~2022-10-16 22:44:11,439.0,72.00,25.07087688,121.45593708
2022-10-16 15:25:00+08,新莊區,新莊區新北市新莊區利濟街利濟橫移門,2022-10-16 15:25:00~2022-10-17 00:10:00,525.0,0,25.03317403,121.44994188
2022-10-16 15:23:13+08,五股區,疏洪一路五方福德宮前,2022-10-16 15:23:13~2022-10-17 06:39:13,916.0,107.00,25.08276388,121.45071938
2022-10-16 15:21:00+08,汐止區,汐止區汐止區仁愛路162之6號,2022-10-16 15:21:00~2022-10-16 16:40:00,79.0,10.00,25.06458778,121.66236998
2022-10-16 15:19:00+08,林口區,林口區文化三路一段與忠孝路口,2022-10-16 15:19:00~2022-10-17 00:10:00,531.0,0,25.07344798,121.36378058
2022-10-16 15:18:00+08,中和區,中和區民利街118巷7號,2022-10-16 15:18:00~2022-10-17 00:00:00,522.0,0,24.99726178,121.47407638
2022-10-16 15:07:00+08,汐止區,汐止區汐止區水源路二段190號,2022-10-16 15:07:00~2022-10-16 17:10:00,123.0,0,25.05343898,121.65500038
2022-10-16 15:06:17+08,五股區,成泰路一段98巷,2022-10-16 15:06:17~2022-10-16 19:57:16,291.0,60.00,25.07135946,121.43539369
2022-10-16 14:56:00+08,汐止區,汐止區三民街1巷2號,2022-10-16 14:56:00~2022-10-16 18:10:00,194.0,0,25.06714798,121.62190088
2022-10-16 14:55:00+08,汐止區,汐止區新北市汐止區汐萬路一段,2022-10-16 14:55:00~2022-10-16 18:40:00,225.0,0,25.07276728,121.64916068
2022-10-16 14:45:00+08,汐止區,汐止區東勢街1巷3號,2022-10-16 14:45:00~2022-10-16 16:00:00,75.0,0,25.04003898,121.62345778
2022-10-16 14:41:06+08,汐止區,南陽街車行地下道,2022-10-16 14:41:06~2022-10-16 19:52:06,311.0,177.00,25.01975909,121.45703355
2022-10-16 14:36:00+08,汐止區,汐止區汐止區樟樹二路330巷,2022-10-16 14:36:00~2022-10-16 17:30:00,174.0,20.00,25.07027378,121.63966368
2022-10-16 14:33:39+08,汐止區,仁愛路254號,2022-10-16 14:33:39~2022-10-16 14:37:39,4.0,11.00,25.00895278,121.50194608
2022-10-16 14:33:00+08,汐止區,汐止區大同路三段110號,2022-10-16 14:33:00~2022-10-16 16:10:00,97.0,0,25.07708548,121.66844438
2022-10-16 11:05:00+08,永和區,永和區福和橋,2022-10-16 11:05:00~2022-10-17 00:10:00,785.0,10.00,25.00681248,121.52718888
2022-10-16 11:03:00+08,林口區,林口區林口區文化北路一段,2022-10-16 11:03:00~2022-10-17 00:00:00,777.0,0,25.07388698,121.35911828
2022-09-12 15:38:00+08,汐止區,汐止區汐止區貨運聯絡道,2022-09-12 15:38:00~2022-09-12 17:00:00,82.0,0,25.07563088,121.66282398
2022-09-11 16:00:00+08,烏來區,新北市烏來區信福路段,2022-09-11 16:00:00~2022-09-11 18:00:00,120.0,40.00,25.0196686,121.302522
2022-09-03 11:35:17+08,五股區,成泰路一段98巷,2022-09-03 11:35:17~2022-09-03 11:45:17,10.0,12.00,25.07135946,121.43539369
