"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2021-06-04 13:47:00+08","文山區","臺北市文山區萬有里013鄰羅斯福路六段３９巷１號至13號","2021-06-04 13:47:00~2021-06-04 16:30:00","163","10.00"
"2021-06-04 13:46:00+08","大安區","臺北市大安區通化里017鄰通化街５７巷５９號後方防火巷及通化街５７巷整條巷","2021-06-04 13:46:00~2021-06-04 16:40:00","174","10.00"
"2021-06-04 13:44:00+08","文山區","臺北市文山區興光里007鄰興德路６巷２２號整條巷子","2021-06-04 13:44:00~2021-06-04 16:30:00","166","10.00"
"2021-06-04 13:44:00+08","信義區","臺北市信義區松友里010鄰信義路六段７６巷８弄７２號的路口","2021-06-04 13:44:00~2021-06-04 16:30:00","166","10.00"
"2021-06-04 13:43:00+08","南港區","臺北市南港區中南里020鄰市民大道八段５４８號","2021-06-04 13:43:00~2021-06-04 16:30:00","167","30.00"
"2021-06-04 13:41:00+08","文山區","臺北市文山區明義里005鄰木柵路二段１２４號前方","2021-06-04 13:41:00~2021-06-04 16:20:00","159","10.00"
"2021-06-04 13:40:00+08","大安區","台北市大安區基隆路三段109號(面向機車行門前左側DJ箱下)","2021-06-04 13:40:00~2021-06-04 14:45:00","65","24.00"
"2021-06-04 13:37:00+08","文山區","路面淹到腳踝","2021-06-04 13:37:00~2021-06-04 16:50:00","193","10.00"
"2021-06-04 13:33:00+08","文山區","景興路108巷","2021-06-04 13:33:00~2021-06-04 16:30:00","177","10.00"
"2021-06-04 13:33:00+08","信義區","信義區松隆路28號","2021-06-04 13:33:00~2021-06-04 16:30:00","177","20.00"
"2021-06-04 13:26:00+08","文山區","景興路108巷附近","2021-06-04 13:26:00~2021-06-04 16:20:00","174","10.00"
"2021-06-04 13:21:00+08","文山區","台北市文山區興隆路二段299號旁巷內交接箱(CM1020)下","2021-06-04 13:21:00~2021-06-04 14:36:00","75","40.00"
"2021-06-04 13:19:00+08","文山區","台北市文山區仙岩路22巷","2021-06-04 13:19:00~2021-06-04 17:00:00","221","10.00"
"2021-06-04 13:19:00+08","文山區","興隆路二段299號淹水10公分","2021-06-04 13:19:00~2021-06-04 16:20:00","181","10.00"
"2021-05-24 17:00:00+08","內湖區","台北市內湖區東湖路58巷","2021-05-24 17:00:00~2021-05-24 17:20:00","20","30.00"
"2022-10-16 21:01:00+08","南港區","臺北市南港區九如里021鄰研究院路二段１８２巷１０７弄３３號","2022-10-16 21:01:00~2022-10-16 22:10:00","69","10.00"
"2022-10-16 20:17:00+08","南港區","研究院路2段胡適公園","2022-10-16 20:17:00~2022-10-16 22:50:00","153","-"
"2022-10-16 20:17:00+08","南港區","研究院路2段胡適公園","2022-10-16 20:17:00~2022-10-16 22:20:00","123","-"
"2022-10-16 20:04:00+08","內湖區","民權東路6段99號","2022-10-16 20:04:00~2022-10-16 20:40:00","36","-"
"2022-10-16 20:03:00+08","大同區","蘭州街89巷12號","2022-10-16 20:03:00~2022-10-16 22:00:00","117","-"
"2022-10-16 20:02:00+08","內湖區","康樂街131巷3號1樓","2022-10-16 20:02:00~2022-10-16 20:20:00","18","-"
"2022-10-16 19:57:00+08","信義區","北安路458巷 明水路口","2022-10-16 19:57:00~2022-10-16 22:10:00","133","-"
"2022-10-16 19:47:00+08","中山區","大佳河濱公園_大佳碼頭","2022-10-16 19:47:00~2022-10-16 20:40:00","53","-"
"2022-10-16 19:38:00+08","內湖區","成功路2段426巷11號1樓","2022-10-16 19:38:00~2022-10-16 22:20:00","162","20.00"
"2022-10-16 19:37:00+08","內湖區","江南街113之1號","2022-10-16 19:37:00~2022-10-16 20:30:00","53","-"
"2022-10-16 19:20:00+08","南港區","重陽路235巷2號三樓","2022-10-16 19:20:00~2022-10-16 22:30:00","190","-"
"2022-10-16 19:13:00+08","松山區","民生東路4段54號7樓","2022-10-16 19:13:00~2022-10-16 20:10:00","57","-"
"2022-10-16 19:07:00+08","中山區","民權東路2段92巷1弄","2022-10-16 19:07:00~2022-10-16 20:10:00","63","-"
"2022-10-16 19:07:00+08","中山區","錦州街231巷","2022-10-16 19:07:00~2022-10-16 20:10:00","63","-"
"2022-10-16 19:07:00+08","中山區","新生北路3段56巷4號6號","2022-10-16 19:07:00~2022-10-16 19:30:00","23","-"
"2022-10-16 19:01:00+08","士林區","延平北路7段至9段","2022-10-16 19:01:00~2022-10-16 20:10:00","69","-"
"2022-10-16 19:01:00+08","南港區","成福路211巷","2022-10-16 19:01:00~2022-10-16 20:10:00","69","-"
"2022-10-16 18:58:00+08","中正區","南海路56號","2022-10-16 18:58:00~2022-10-16 19:10:00","12","10.00"
"2022-10-16 18:57:00+08","松山區","興安街174巷3弄17號","2022-10-16 18:57:00~2022-10-16 20:40:00","103","-"
"2022-10-16 18:57:00+08","松山區","松山區民生東路4段75號","2022-10-16 18:57:00~2022-10-16 20:40:00","103","-"
"2022-10-16 18:57:00+08","內湖區","內湖區環山路1段136巷20弄7號","2022-10-16 18:57:00~2022-10-16 20:30:00","93","-"
"2022-10-16 18:54:00+08","信義區","松隆路１號","2022-10-16 18:54:00~","null","-"
