"data_time","行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"2022-07-04 16:00:00+08","樹林區","武林街6號","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","板橋區","漢生東路 中山路一段交叉路口","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","新莊區","萬安街165巷2號","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","五股區","更洲路35號","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","泰山區","工專路積淹水","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","泰山區","明志路三段145巷","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","樹林區","武林街18號","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","五股區","御史路56巷","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","泰山區","貴子路67巷1號","2022-07-04 16:00:00~2022-07-04 19:00:00","180","-"
"2022-07-04 16:00:00+08","樹林區","樹林區三福街42巷","2022-07-04 16:00:00~2022-07-04 18:50:00","170","20.00"
"2022-07-04 16:00:00+08","樹林區","樹林區大安路與備內街口","2022-07-04 16:00:00~2022-07-04 18:50:00","170","-"
"2022-07-04 14:52:58+08","泰山區","新生路175號","2022-07-04 14:52:58~2022-07-04 16:15:58","83","14.00"
"2022-07-04 14:52:33+08","泰山區","泰林路與新北大道口","2022-07-04 14:52:33~2022-07-04 15:32:33","40","16.00"
"2022-07-04 14:42:17+08","五股區","成泰路一段98巷","2022-07-04 14:42:17~2022-07-04 16:27:17","105","67.00"
"2022-06-25 15:01:08+08","土城區","金城路二段46巷18-9號","2022-06-25 15:01:08~2022-06-25 15:10:08","9","11.00"
"2022-06-25 14:43:17+08","五股區","成泰路一段98巷","2022-06-25 14:43:17~2022-06-25 15:41:17","58","26.00"
"2022-06-24 16:20:00+08","汐止區","汐止區汐止區吉林街和南陽街交界處涵洞","2022-06-24 16:20:00~2022-06-24 16:30:00","10","-"
"2022-06-24 15:32:45+08","汐止區","南陽街車行地下道","2022-06-24 15:32:45~2022-06-24 16:23:45","51","56.00"
