查詢區間:113年01月01日~113年12月31日
"行政區","位置","淹水期間","淹水時間(分鐘)","最高淹水深度(公分)"
"新北市永和區","國光路35號","2024-08-23 14:30:00 		                  			 ~  		                  				2024-08-23 15:15:00","45","30.00"
"新北市五股區","成泰路一段98巷","2024-08-20 16:38:04 		                  			 ~  		                  				2024-08-20 17:49:04","71","41.00"
"新北市五股區","成泰路一段98巷","2024-08-15 15:24:04 		                  			 ~  		                  				2024-08-15 15:41:04","17","19.00"
"新北市新莊區","幸福路834號","2024-08-15 15:20:00 		                  			 ~  		                  				2024-08-15 15:40:00","20","13.00"
"新北市新莊區","新泰路82號","2024-08-14 13:50:00 		                  			 ~  		                  				2024-08-14 14:15:00","25","17.00"
"新北市永和區","國光路35號","2024-08-09 13:15:00 		                  			 ~  		                  				2024-08-09 13:25:00","10","13.00"
"新北市新店區","新店區寶高路120巷5弄2號","2024-07-24 17:15:00 		                  			 ~  		                  				2024-07-24 18:20:00","65","-"
"新北市樹林區","樹林區柑園街一段335巷口","2024-07-02 15:10:00 		                  			 ~  		                  				2024-07-02 16:10:00","60","9.00"
"新北市新店區","新北市新店區永業路81巷路口","2024-07-02 15:10:00 		                  			 ~  		                  				2024-07-02 16:10:00","60","10.00"
"新北市新店區","新北市新店區 安平路高速公路涵洞","2024-07-02 15:10:00 		                  			 ~  		                  				2024-07-02 15:30:00","20","10.00"
"新北市三峽區","三峽區大學路及學勤路口","2024-07-02 15:10:00 		                  			 ~  		                  				2024-07-02 15:30:00","20","10.00"
"新北市樹林區","樹林區佳園路三段145巷30-16號","2024-07-02 15:10:00 		                  			 ~  		                  				2024-07-02 15:30:00","20","10.00"
"新北市新店區","新店區新烏路二段廣興","2024-07-02 15:10:00 		                  			 ~  		                  				2024-07-02 15:20:00","10","10.00"
"新北市中和區","新北市 中和區 華新街","2024-06-28 16:13:00 		                  			 ~  		                  				2024-06-28 16:29:00","16","10.00"
"新北市土城區","新北市 土城區 永豐路","2024-06-28 15:50:00 		                  			 ~  		                  				2024-06-28 16:40:00","50","10.00"
"新北市永和區","國光路35號","2024-06-24 15:10:00 		                  			 ~  		                  				2024-06-24 15:30:00","20","18.00"
"新北市新店區","新北市新店區安平路","2024-06-24 15:00:00 		                  			 ~  		                  				2024-06-24 15:30:00","30","10.00"
"新北市土城區","新北市土城區永豐路","2024-06-23 16:00:00 		                  			 ~  		                  				2024-06-23 16:30:00","30","10.00"
"新北市永和區","林森路65號","2024-06-21 15:00:04 		                  			 ~  		                  				2024-06-21 16:54:16","114","19.00"
"新北市土城區","2024-06-18 16:20:00 		                  			 ~  		                  				2024-06-18 17:20:00","60","9.00"
"新北市汐止區","新北勢汐止區崇德里","2024-04-18 07:30:00 		                  			 ~  		                  				2024-04-18 09:20:00","110","70.00"
