data_time,行政區,位置,淹水期間,淹水時間(分鐘),最高淹水深度(公分),Latitude,Longitude
2020-08-03 12:08:00+08,北投區,台北市北投區承德路7段32巷3弄,2020-08-03 12:08:00~2020-08-03 23:10:59,662.0,0,25.11169688,121.50839208
2020-08-03 12:07:35+08,北投區,台北市北投區大業路65巷,2020-08-03 12:07:35~2020-08-04 08:40:23,1233.0,0,25.12254708,121.49280458
2020-08-03 12:07:00+08,北投區,台北市北投區大業路65巷,2020-08-03 12:07:00~2020-08-03 23:10:59,663.0,0,25.12254708,121.49280458
2021-09-12 14:35:00+08,士林區,延平北路8段95巷-135號,2021-09-12 14:35:00~2021-09-12 15:30:00,55.0,0,25.10585568,121.48115698
2021-09-12 10:32:00+08,大同區,承德路1段-市民大道1段,2021-09-12 10:32:00~2021-09-12 11:50:00,78.0,0,25.01973674,121.38493175
2021-07-31 16:02:00+08,士林區,天母東路43巷4弄10號至21號,2021-07-31 16:02:00~,0,0,25.11845398,121.53033728
2021-07-31 13:52:00+08,北投區,北投區石牌路2段130巷2弄淹水，水深20公分。,2021-07-31 13:52:00~2021-07-31 15:50:00,118.0,0,25.01973674,121.38493175
2021-07-31 13:52:00+08,士林區,士林區仰德大道64號-50號，路面積水，水深膝蓋,2021-07-31 13:52:00~2021-07-31 14:20:00,28.0,0,25.01973674,121.38493175
2021-07-31 13:44:00+08,士林區,士東路228號至286巷,2021-07-31 13:44:00~2021-07-31 15:00:00,76.0,0,25.10923278,121.53035438
2021-07-31 13:32:00+08,北投區,北投區大業路663號，積水深度30公分，面積20公尺,2021-07-31 13:32:00~2021-07-31 15:30:00,118.0,0,25.13715398,121.49664978
2021-07-31 13:32:00+08,士林區,士林區福林路2號，積水10公分以上,2021-07-31 13:32:00~2021-07-31 14:10:00,38.0,0,25.09373739,121.51879055
2021-07-31 13:32:00+08,士林區,士林區天母東路105巷口，水溝雨水已淹到人行道上，深度快達腳踝,2021-07-31 13:32:00~2021-07-31 14:00:00,28.0,0,25.12511631,121.52877989
2021-07-31 13:28:00+08,士林區,天母東路43巷4弄9～11號防火巷內,2021-07-31 13:28:00~2021-07-31 15:20:00,112.0,0,25.11864708,121.53036808
2021-07-29 14:44:00+08,士林區,臺北市士林區延平北路八段55號至110號,2021-07-29 14:44:00~2021-07-29 18:39:13,235.0,20.00,25.11267778,121.48784378
2021-07-24 08:14:00+08,士林區,111台灣台北市士林區通河東街二段21號　通河東街二段21號至23號,2021-07-24 08:14:00~2021-07-24 10:00:00,106.0,0,25.01973674,121.38493175
2021-07-24 07:07:00+08,北投區,公?路往洲美街方向,2021-07-24 07:07:00~2021-07-24 10:10:00,183.0,0,25.01973674,121.38493175
2021-07-24 06:42:00+08,士林區,台北市士林區延平北路8段93巷與96巷、111巷,2021-07-24 06:42:00~2021-07-24 07:50:00,68.0,0,25.01973674,121.38493175
2021-07-24 06:19:00+08,士林區,福林路與中山北路五段口,2021-07-24 06:19:00~2021-07-24 10:50:00,271.0,0,25.09272598,121.52481208
2021-06-04 15:31:00+08,松山區,105台灣台北市松山區敦化北路155巷100弄9號　105台灣台北市松山區敦化北路155巷100弄9號,2021-06-04 15:31:00~2021-06-04 16:50:00,79.0,30.00,25.05481128,121.54951348
2021-06-04 15:17:00+08,大安區,106台灣台北市松山區八德路三段74巷3弄、15弄　吉仁里台北市松山區八德路三段74巷3弄、15弄,2021-06-04 15:17:00~2021-06-04 17:00:00,103.0,10.00,25.04763138,121.55031758
2021-06-04 15:15:00+08,文山區,116台灣台北市文山區木新路二段270-1號　道路積水,2021-06-04 15:15:00~2021-06-04 16:40:00,85.0,10.00,24.99362555,121.55488975
2021-06-04 15:04:00+08,松山區,臺北市松山區光復南路45巷　松山區光復南路45巷有積淹水情形,2021-06-04 15:04:00~2021-06-04 16:40:00,96.0,15.00,25.04615038,121.55630088
